id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
758,BRIGHTNOVA INC,COMMERCIAL LENDER LLC,814 E 17TH ST,WILMINGTON,2024-08-12,0,124200
759,BENGOL REAL ESTATES GROUP LLC,SHALLCROSS MORTGAGE COMPANY,312 W VAN BUREN AVE,NEW CASTLE,2024-08-12,0,240000
760,NAJERA PROPERTIES LLC,JIAYUN LLC,1326 READ ST,WILMINGTON,2024-08-09,0,100000
761,PREMIER ONE PROPERTIES LLC,HOME TREATMENTS LLC,77 OAKMONT DR,NEW CASTLE,2024-08-09,135000,135000
762,HERRITAGE INVESTMENT PROPERTIES LLC,BLUE WATER INVESTMENT LLC,14370 RUSSELL ST,MILTON,2024-08-09,85700,205000
763,B AND C ENTERPRISES LLC,JOSEPH T MOORE REVOCABLE TRUST,20220 COASTAL HWY,REHOBOTH BEACH,2024-08-09,2050000,2050000
764,JMN CONSTRUCTION LLC,SHALLCROSS MORTGAGE COMPANY,502 N FRANKLIN ST,WILMINGTON,2024-08-08,0,140000
765,MPI PROPERTIES LLC,SHALLCROSS MORTGAGE COMPANY,2708 N VAN BUREN ST,WILMINGTON,2024-08-08,149900,210000
766,SHORELINE GETAWAYS LLC,NEWREZ LLC,32664 SAND DUNE DR,LEWES,2024-08-08,900000,500000
767,HANAE PROPERTIES LLC,SHALLCROSS MORTGAGE COMPANY,2328 BOWERS BEACH RD,FREDERICA,2024-08-07,300000,320000
768,AJ NEW CASTLE LLC,ARTISANS' BANK,819 WASHINGTON ST,HISTORIC NEW CASTLE,2024-08-07,0,484000
769,AJ NEW CASTLE LLC,ARTISANS' BANK,815 WASHINGTON ST,HISTORIC NEW CASTLE,2024-08-07,0,484000
770,JEM SQUARED LLC,OAKTREE FUNDING CORP,3 JAMISON ST,NEWARK,2024-08-07,0,122606
771,DAISY DEALS LLC,TVC FUNDING II LLC,33 E COMMERCE ST,SMYRNA,2024-08-06,205000,212595
772,FALIHA INVESTMENTS LLC,HORIZON FARM CREDIT ACA,22 N GOVERNORS AVE,DOVER,2024-08-05,125000,100000
773,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,4 PAYNTER DR,WILMINGTON,2024-08-05,0,920000
774,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,57 S CANNON DR,WILMINGTON,2024-08-05,0,920000
775,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,48 N PENNEWELL DR,WILMINGTON,2024-08-05,0,920000
776,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,27 N PENNEWELL DR,WILMINGTON,2024-08-05,0,920000
777,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,29 N CANNON DR,WILMINGTON,2024-08-05,0,920000
778,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,37 N CANNON DR,WILMINGTON,2024-08-05,0,920000
779,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,41 N CANNON DR,WILMINGTON,2024-08-05,0,920000
780,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,57 N CANNON DR,WILMINGTON,2024-08-05,0,920000
781,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,13 POLK DR,WILMINGTON,2024-08-05,0,920000
782,BENGOL REAL ESTATES GROUP LLC,ICE LENDER HOLDINGS LLC,26 S RODNEY DR,WILMINGTON,2024-08-05,0,920000
783,ZAHRA REALTY LLC,DOMINION FIN'L SERVICES LLC,125 SAINT JOHN DR,WILMINGTON,2024-08-05,0,144000
784,MARYLAND SELL NOW LLC,ZAK INVESTMENTS LLC,56 BETTS AVE,NEW CASTLE,2024-08-02,120000,260000
785,BIGG JIMS HOMES LLC,DOMINION FIN'L SERVICES LLC,25736 DEEP BRANCH RD,MILTON,2024-08-02,100000,196500
786,UPSCALE MAN II CORP,LOAN FUNDER LLC,1976 MILFORD HARRINGTON HWY,MILFORD,2024-08-01,195000,227500
787,BUI BUILDERS INC,BLUE GATE CAPITAL LLC,51 CYPRESS BRIDGE PL,BEAR,2024-08-01,0,205445
788,A V LANDSCAPING & HARDSCAPING THE BLESSING LL,STRATEGIC GROWTH CAPITAL LLC,918 BRIDGEVILLE HWY,SEAFORD,2024-08-01,175000,199200
789,DIAMOND STATE HOUSING LLC,SHORE UNITED BANK NA,8 FOREST CREEK DR,DOVER,2024-07-31,150000,120000
790,COMMERCE VENTURE GROUP LLC,SPG CAPITAL FUND I LLC,109 FORREST AVE,WILMINGTON,2024-07-31,128000,160000
791,CHURCHBOY ENTERPRISES LLC,CROSSCOUNTRY MORTGAGE LLC,2610 CRESTON PL,WILMINGTON,2024-07-31,0,144000
792,MITCHELL WILLIAM,SHALLCROSS MORTGAGE COMPANY,112 E 42ND ST,WILMINGTON,2024-07-31,147000,170000
793,EIGHTY EIGHT VENTURES LLC,INSULA CAPITAL GROUP LLC,7 CYPRESS AVE,WILMINGTON,2024-07-31,0,205000
794,DREAMS UNLIMITED LLC,SECURED INV HIGH YIELD FUND II,123 MARKET ST,BRIDGEVILLE,2024-07-31,110000,227500
795,RIVERA PROPERTY GROUP LLC,CRAVENS LEONA,260 N GOVERNORS BLVD,DOVER,2024-07-30,155000,105000
796,L & L CONTRACTING INC,CARDINAL FIN'L CO LP,74 TARAILA RD,MARYDEL,2024-07-30,365000,365000
